	0
38	intestine,intestine,yeast cells,cultured cells,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,lung,b cells,feces,feces
39	intestine,intestine,urine,algae,yeast cells,kidney,cultured cells,cultured cells,cultured cells,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,blood,lung,cerebrospinal fluid,cerebrospinal fluid,breast
40	liver,blood,blood
41	intestine,kidney,cultured cells,liver,bacterial cells,blood,blood,blood,blood,blood,lung,feces,feces
42	algae,cultured cells,cultured cells,liver,bacterial cells,blood,blood,blood,lung,cerebrospinal fluid
43	intestine,intestine,urine,algae,kidney,cultured cells,cultured cells,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,blood,blood,b cells,cerebrospinal fluid,cerebrospinal fluid,breast,feces
44	urine,kidney,cultured cells,liver,liver,adipose tissue,blood,blood,lung,lung,b cells,cerebrospinal fluid,cerebrospinal fluid,breast,feces
45	intestine,algae,bacterial cells,blood,blood,feces
46	intestine,intestine,urine,algae,yeast cells,kidney,cultured cells,cultured cells,cultured cells,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,blood,lung,lung,b cells,cerebrospinal fluid,cerebrospinal fluid,breast,feces,feces
47	intestine,intestine,urine,algae,yeast cells,kidney,cultured cells,liver,liver,liver,adipose tissue,adipose tissue,bacterial cells,blood,blood,blood,blood,blood,blood,blood,blood,lung,lung,b cells,cerebrospinal fluid,breast,feces,feces
48	urine,algae,cultured cells,blood,blood,blood,blood,blood,blood,lung,cerebrospinal fluid,cerebrospinal fluid,feces
49	urine,kidney,cultured cells,liver,adipose tissue,blood,blood,blood,blood,lung,cerebrospinal fluid,cerebrospinal fluid
50	adipose tissue,adipose tissue,blood,blood,blood,blood
51	cultured cells,cultured cells,blood,blood
52	intestine,kidney,adipose tissue,blood,lung,b cells,breast
53	intestine,algae,cultured cells,liver,liver,adipose tissue,blood,blood,blood,blood,blood,cerebrospinal fluid,cerebrospinal fluid,breast
54	intestine,intestine,algae,yeast cells,kidney,cultured cells,cultured cells,cultured cells,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,lung,lung,b cells,breast,feces,feces
55	intestine,cultured cells,liver,liver,adipose tissue,adipose tissue,bacterial cells,blood,blood,blood,blood,blood,blood,blood,blood,lung,lung,b cells,breast,feces
56	intestine,urine,algae,kidney,cultured cells,cultured cells,cultured cells,liver,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,lung,lung,b cells,cerebrospinal fluid,breast,feces,feces
57	liver,blood,blood,blood
58	intestine,kidney,cultured cells,blood,lung,lung
59	intestine,algae,kidney,cultured cells,cultured cells,cultured cells,liver,liver,liver,adipose tissue,blood,blood,blood,blood,blood,lung,b cells,breast
60	intestine,kidney,liver,liver,adipose tissue,adipose tissue,blood,blood,blood,blood,blood,blood,blood,lung,lung,b cells
61	urine,blood,cerebrospinal fluid
62	liver,blood,blood
63	intestine,intestine,urine,kidney,adipose tissue,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,lung,cerebrospinal fluid,cerebrospinal fluid,breast
64	bacterial cells,bacterial cells,b cells,breast
65	intestine,algae,yeast cells,cultured cells,cultured cells,cultured cells,liver,liver,liver,bacterial cells,bacterial cells,bacterial cells,blood,blood,lung,lung,b cells,breast
66	algae,yeast cells,bacterial cells,blood,breast
67	intestine,kidney,cultured cells,adipose tissue,bacterial cells,bacterial cells,lung,lung,b cells,breast,feces,feces
68	intestine,algae,yeast cells,kidney,cultured cells,cultured cells,adipose tissue,bacterial cells,bacterial cells,blood,blood,blood,blood,lung,breast,feces,feces
69	intestine,yeast cells,kidney,adipose tissue,bacterial cells,bacterial cells,blood,blood,blood,blood,lung,b cells,breast,feces,feces
70	intestine,kidney,liver,liver,adipose tissue,bacterial cells,bacterial cells,blood,blood,breast
71	liver,blood,b cells,breast
72	kidney,cultured cells,bacterial cells,lung,breast
73	intestine,yeast cells,bacterial cells,bacterial cells,breast
74	breast,feces,feces
75	intestine,cultured cells,cultured cells,breast
76	yeast cells,kidney,cultured cells,cultured cells,liver,liver,bacterial cells,bacterial cells,bacterial cells,bacterial cells,blood,lung,b cells,breast
77	liver,b cells,breast
78	cultured cells,bacterial cells,bacterial cells,bacterial cells,breast
79	cultured cells,b cells,breast
80	cultured cells,liver,b cells,breast
81	cultured cells,bacterial cells,bacterial cells,bacterial cells,breast
82	algae,cultured cells,cultured cells,b cells,breast
83	bacterial cells,bacterial cells,bacterial cells,breast
84	intestine,intestine,kidney,bacterial cells,bacterial cells,b cells,breast
85	yeast cells,liver,bacterial cells,blood,breast
86	intestine,intestine,bacterial cells,bacterial cells,bacterial cells,breast,feces
87	intestine,yeast cells,kidney,liver,liver,adipose tissue,bacterial cells,bacterial cells,bacterial cells,blood,lung,lung,b cells,breast
88	liver,adipose tissue,blood,lung,lung,b cells,breast,feces,feces
89	intestine,liver,b cells,breast
90	intestine,yeast cells,kidney,cultured cells,cultured cells,bacterial cells,bacterial cells,b cells,breast
91	adipose tissue,bacterial cells,breast
92	kidney,cultured cells,lung,b cells,breast
93	liver,lung,breast
94	urine,yeast cells,cultured cells,bacterial cells,blood,blood,blood,blood,lung,b cells,cerebrospinal fluid,cerebrospinal fluid
95	intestine,liver,adipose tissue,blood,blood,blood,blood,blood,blood,cerebrospinal fluid,cerebrospinal fluid
96	urine,yeast cells,cultured cells,liver,bacterial cells,bacterial cells,blood,cerebrospinal fluid
97	cultured cells,lung,cerebrospinal fluid
98	urine,cultured cells,bacterial cells,cerebrospinal fluid
99	intestine,urine,liver,b cells,cerebrospinal fluid,cerebrospinal fluid
100	intestine,urine,kidney,cultured cells,liver,lung,b cells,cerebrospinal fluid,cerebrospinal fluid,feces
101	yeast cells,bacterial cells,cerebrospinal fluid
102	intestine,intestine,urine,bacterial cells,bacterial cells,cerebrospinal fluid,cerebrospinal fluid,feces,feces
